johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
sainsburysentertainment.co.uk*	WorldWide	08.06.2017	08.12.2017	0.3333333333333333	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	595.7894940518313
feelunique.com*	WorldWide	08.06.2017	08.12.2017	0.3068986759788346	0.07026037818336858	0.06214173837168345	0.23612343078471174	0.07708914064179533	0.16781774069129488	0.0796688953483121	360038.6376671012
jessops.com*	WorldWide	08.06.2017	08.12.2017	0.2679309294941498	0.024357357226740897	0.0	0.4442173024226871	0.1004740985603062	0.14170762472271758	0.021312687573398284	137310.7911853578
sofa.com*	WorldWide	08.06.2017	08.12.2017	0.162016201620162	0.047254725472547256	0.18901890189018902	0.2614761476147615	0.20477047704770476	0.11971197119711971	0.01575157515751575	11121.237809466918
dfs.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1742738589211618	0.004149377593360995	0.02489626556016597	0.5705394190871368	0.14315352697095432	0.07053941908713691	0.012448132780082985	93885.8935277369
grahambrown.com*	WorldWide	08.06.2017	08.12.2017	0.0920478579383487	0.018595526856232062	0.02789329028434809	0.4276971176933374	0.12830913530800123	0.21672984377713983	0.08872722814259298	33938.17210575011
loaf.com*	WorldWide	08.06.2017	08.12.2017	0.24413624311645932	0.014276973281664287	0.02141545992249643	0.32837038547827857	0.14276973281664287	0.2133387721802978	0.03569243320416072	25656.152907710708
panasonic.com*	WorldWide	08.06.2017	08.12.2017	0.19317395865678208	0.017641542295653775	0.011878762409823777	0.5916071762181396	0.019928064637450837	0.14816613271156573	0.0176043630705839	1449380.0509979394
sportsdirect.com*	WorldWide	08.06.2017	08.12.2017	0.35052940105980884	0.00789269396148706	0.03696949587908436	0.3657779526798455	0.014406367044944779	0.16792405312742392	0.05650003624740565	1781167.0124319715
clarks.co.uk*	WorldWide	08.06.2017	08.12.2017	0.27501094091903727	0.020458567215298262	0.05178574826372374	0.3791228237084959	0.131222528779374	0.11842450765864336	0.02397488345542765	236188.39589200844
debenhams.com*	WorldWide	08.06.2017	08.12.2017	0.21499328275016596	0.012005297575755653	0.05028885762288757	0.5310978495272517	0.04851029501907192	0.12514093520632916	0.01796348229853809	987644.666069133
groovystyle.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1724137931034483	0.0	0.0	0.4310344827586207	0.13793103448275862	0.25862068965517243	0.0	2037.9059996200358
net-a-porter.com*	WorldWide	08.06.2017	08.12.2017	0.29751549664552995	0.04955409565655344	0.03783198889089976	0.21450618677034075	0.14121208500198545	0.20541744562662304	0.05396270140806751	708057.2124709212
warehouse.co.uk*	WorldWide	08.06.2017	08.12.2017	0.3345221112696149	0.02139800285306705	0.06419400855920114	0.398716119828816	0.03566333808844508	0.13480741797432239	0.010699001426533525	46722.05319771179
dawsonsdepartmentstore.co.uk*	WorldWide	08.06.2017	08.12.2017	0.16666666666666666	0.0	0.0	0.5	0.0	0.3333333333333333	0.0	1189.8646637264678
phoneshopbysainsburys.co.uk*	WorldWide	08.06.2017	08.12.2017	0.0	0.0	0.0	0.0	0.0	1.0	0.0	199.33752822499378
topshop.com*	WorldWide	08.06.2017	08.12.2017	0.3213604195815946	0.02476709088901127	0.018352859266557754	0.417889044027015	0.027251215274585756	0.14151256588381508	0.04886680507742044	867108.8821478056
lookfantastic.com*	WorldWide	08.06.2017	08.12.2017	0.2480082987873758	0.0527884061952161	0.06427603863148075	0.2914758801487149	0.08752481856201634	0.20368518159599286	0.052241376079203504	301831.0532736946
tuclothing.sainsburys.co.uk#	WorldWide	08.06.2017	08.12.2017	0.11008398624654751	0.01578265035792796	0.03551096330533791	0.3495857054281043	0.14322755199819623	0.32213516712699386	0.02367397553689194	105804.18415258171
barbour.com*	WorldWide	08.06.2017	08.12.2017	0.2486764367375125	0.0026854906775109337	0.04028236016266401	0.5150771119465971	0.03491137880764214	0.1368832962479859	0.02148392542008747	57932.52047117986
