countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
France	250	1	laroche-posay.fr	1	2017	mobile	228739	1
France	250	1	laroche-posay.fr	2	2017	mobile	158538	1
France	250	1	laroche-posay.fr	3	2017	mobile	206076	1
France	250	1	laroche-posay.fr	4	2017	mobile	187787	1
France	250	1	laroche-posay.fr	5	2015	mobile	130095	1
France	250	1	laroche-posay.fr	5	2017	mobile	195232	1
France	250	1	laroche-posay.fr	6	2015	mobile	114878	1
France	250	1	laroche-posay.fr	7	2015	mobile	116170	1
France	250	1	laroche-posay.fr	8	2015	mobile	95178	0
France	250	1	laroche-posay.fr	9	2015	mobile	91301	0
France	250	1	laroche-posay.fr	10	2015	mobile	113161	1
France	250	1	laroche-posay.fr	11	2015	mobile	109233	1
France	250	1	laroche-posay.fr	12	2015	mobile	124053	1
France	250	1	loreal-paris.fr	1	2017	mobile	560127	1
France	250	1	loreal-paris.fr	2	2017	mobile	886391	1
France	250	1	loreal-paris.fr	3	2017	mobile	599787	1
France	250	1	loreal-paris.fr	4	2017	mobile	572624	1
France	250	1	loreal-paris.fr	5	2017	mobile	558344	1
Germany	276	1	armanibeauty.de	1	2017	mobile	6138	0
Germany	276	1	armanibeauty.de	2	2017	mobile	8174	0
Germany	276	1	armanibeauty.de	3	2017	mobile	6052	0
Germany	276	1	armanibeauty.de	4	2017	mobile	4069	0
Germany	276	1	armanibeauty.de	5	2017	mobile	6047	0
Germany	276	1	armanibeauty.de	7	2016	mobile	472	0
Germany	276	1	armanibeauty.de	8	2016	mobile	6245	0
Germany	276	1	armanibeauty.de	9	2016	mobile	6177	0
Germany	276	1	armanibeauty.de	10	2016	mobile	12490	0
Germany	276	1	armanibeauty.de	11	2016	mobile	6479	0
Germany	276	1	armanibeauty.de	12	2016	mobile	7888	0
Germany	276	1	biotherm.de	1	2017	mobile	25620	0
Germany	276	1	biotherm.de	2	2017	mobile	29139	0
Germany	276	1	biotherm.de	3	2017	mobile	114474	1
Germany	276	1	biotherm.de	4	2017	mobile	26826	0
Germany	276	1	biotherm.de	5	2017	mobile	52412	0
Germany	276	1	biotherm.de	7	2016	mobile	2552	0
Germany	276	1	biotherm.de	8	2016	mobile	50344	0
Germany	276	1	biotherm.de	9	2016	mobile	52533	0
Germany	276	1	biotherm.de	10	2016	mobile	23345	0
Germany	276	1	biotherm.de	11	2016	mobile	25308	0
Germany	276	1	biotherm.de	12	2016	mobile	26325	0
Germany	276	1	carita.de	1	2016	mobile	3	0
Germany	276	1	carita.de	2	2017	mobile	1	0
Germany	276	1	carita.de	3	2016	mobile	2	0
Germany	276	1	carita.de	5	2015	mobile	783	0
Germany	276	1	carita.de	6	2015	mobile	795	0
Germany	276	1	carita.de	7	2015	mobile	646	0
Germany	276	1	carita.de	8	2015	mobile	632	0
Germany	276	1	carita.de	9	2015	mobile	636	0
Germany	276	1	carita.de	10	2015	mobile	661	0
Germany	276	1	carita.de	11	2015	mobile	771	0
Germany	276	1	carita.de	11	2016	mobile	26	0
Germany	276	1	carita.de	12	2015	mobile	861	0
Germany	276	1	carita.de	12	2016	mobile	27	0
Germany	276	1	decleor.de	1	2017	mobile	1254	0
Germany	276	1	decleor.de	2	2017	mobile	1110	0
Germany	276	1	decleor.de	3	2017	mobile	1201	0
