ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
1lodka.ru	643	117544	255067	15165	26468	17461	30748	33718.39718	47449.32776	6	17
1m-idea.ru	643	58951	39036	13387	9123	14559	9996	13007.21044	12130.69724	6	17
1mangal.ru	643	19442	24961	5885	7751	6501	8558	10669.11397	10076.85695	4	17
1mangal.ru	643	23934	29120	7628	9346	8399	10266	14446.07265	5498.08306	5	17
1mangal.ru	643	20592	26031	6753	8183	7385	9003	14213.80795	10057.16757	6	17
1mango.ru	643	36573	88971	3960	7455	4807	9119	9493.03664	6050.530536	5	17
1mango.ru	643	25584	50456	4463	7154	5522	8862	8052.378044	14554.84384	6	17
1mg.com	643	3336	1944	1812	1272	2040	1356	1388.764122	6175.656985	4	17
1mg.com	643	3500	2210	1683	1394	1785	1445	1492.894374	960.2459873	5	17
1mg.com	643	1513	2531	1139	1394	1173	1394	1296.518012	19550.07966	6	17
1mlnlks.com	643	69107	330903	11927	34163	21792	67498	229865.1047	179697.9185	5	17
