monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
es.swissquote.com	724	1243	1	1	1	17	1
tw.swissquote.com	756	1240	1	1	1	17	1
apply.swissquote.com	690	1841	2	1	2	17	1
en.swissquote.com	124	1822	1	1	1	17	1
en.swissquote.com	724	1822	1	1	1	17	1
de.swissquote.com	764	1242	4	1	3	17	2
en.swissquote.com	398	1240	1	1	1	17	2
en.swissquote.com	8406	13017	1	1	1	17	2
en.swissquote.com	158	123017	3	1	3	17	3
en.swissquote.com	724	1560	2	2	2	17	3
ru.swissquote.com	498	1586	1	1	1	17	3
advancedtrader.swissquote.com	705	1560	1	1	1	17	4
de.swissquote.com	608	1240	1	1	1	17	4
forms.swissquote.com	643	1814	2	2	2	17	4
en.swissquote.com	356	1576	13	1	8	17	4
en.swissquote.com	392	1808	22	1	18	17	4
en.swissquote.com	756	1576	6	4	5	17	4
de.swissquote.com	756	1577	1	1	1	17	4
de.swissquote.com	756	1739	3	2	3	17	4
mailing.swissquote.com	380	123017	2	1	2	17	4
ar.swissquote.com	818	13017	2	1	2	17	1
de.swissquote.com	756	170	2	2	2	17	1
fr.swissquote.com	756	1241	7	3	5	17	1
it.swissquote.com	380	1241	1	1	1	17	1
sqore.swissquote.com	804	1240	2	1	1	17	1
en.swissquote.com	8406	13017	1	1	1	17	1
en.swissquote.com	756	1246	1	1	1	17	2
apply.swissquote.com	682	123017	2	1	1	17	2
es.swissquote.com	724	1838	1	1	1	17	2
files.swissquote.com	756	1576	2	2	2	17	2
fr.swissquote.com	756	1201	7	2	6	17	2
livechat2.swissquote.com	682	123017	1	1	1	17	2
tw.swissquote.com	756	12	1	1	1	17	2
livechat2.swissquote.com	818	13017	2	1	1	17	3
en.swissquote.com	724	1822	1	1	1	17	3
ar.swissquote.com	504	1576	1	1	1	17	4
files.swissquote.com	380	1576	2	1	2	17	4
wt.swissquote.com	356	1576	15	1	7	17	4
corpws1.swissquote.com	643	1814	49	1	21	17	4
en.swissquote.com	586	1822	1	1	1	17	4
en.swissquote.com	724	1240	1	1	1	17	4
en.swissquote.com	418	1739	1	1	1	17	4
en.swissquote.com	826	123017	1	1	1	17	4
es.swissquote.com	32	1576	1	1	1	17	4
de.swissquote.com	276	1241	1	1	1	17	1
demo-advancedtrader.swissquote.com	643	1814	3	3	3	17	1
de.swissquote.com	756	1246	1	1	1	17	1
en.swissquote.com	682	1240	4	4	4	17	1
en.swissquote.com	434	1240	1	1	1	17	1
ru.swissquote.com	860	123017	41	1	18	17	2
apply.swissquote.com	840	1587	1	1	1	17	3
de.swissquote.com	504	1240	1	1	1	17	3
es.swissquote.com	862	1940	1	1	1	17	3
livechat.swissquote.com	643	1587	1	1	1	17	3
apply.swissquote.com	32	123017	1	1	1	17	3
de.swissquote.com	276	1576	1	1	1	17	3
en.swissquote.com	250	1240	3	1	2	17	3
es.swissquote.com	32	123017	1	1	1	17	3
it.swissquote.com	380	1240	2	1	2	17	3
ru.swissquote.com	643	1841	13	7	10	17	3
fr.swissquote.com	756	13017	2	1	2	17	4
en.swissquote.com	84029	123017	1	1	1	17	4
en.swissquote.com	76	123017	1	1	1	17	1
en.swissquote.com	756	1940	1	1	1	17	1
ru.swissquote.com	643	1587	27	13	22	17	1
en.swissquote.com	76	1560	1	1	1	17	1
en.swissquote.com	112	1586	1	1	1	17	1
en.swissquote.com	512	1586	1	1	1	17	1
advancedtrader.swissquote.com	643	1814	3	3	3	17	1
en.swissquote.com	504	1240	1	1	1	17	1
en.swissquote.com	682	1587	5	2	4	17	1
en.swissquote.com	84025	1560	1	1	1	17	1
ar.swissquote.com	682	123017	4	1	2	17	2
ru.swissquote.com	643	1244	14	9	13	17	2
ru.swissquote.com	724	1580	1	1	1	17	2
