ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201702	vg247.com	208	16190.0	44196.0	9215.0	29477.0	11082.0	33527.0	ga	0.3	17	2	1.0	134186.02303954485	543.7571428571429	68304.97096422534
201701	anazahra.com	208	5765.0	328.0	2910.0	161.0	3256.0	168.0	ga	0.3	17	1	2.0	54994.20756189601	2.6	359.4935422528681
201703	bandcamp.com	208	76497.0	234472.0	31616.0	58829.0	36987.0	75229.0	qc	0.5	17	3	0.0	0.0	200.0714285714285	28608.097268170903
201704	cosmopolitan.ro	208	785.0	76.0	225.0	48.0	233.0	48.0	ga	0.3	17	4	1.0	60208.65191138471	1.0	291.5615346761612
201704	dorkly.com	208	85018.0	43781.0	50646.0	22829.0	60185.0	26385.0	qc	0.5	17	4	0.0	3996.40081441372	440.4714285714286	66915.93977834404
201702	downtrend.com	208	111.0	197.0	28.0	114.0	32.0	137.0	qc	0.5	17	2	0.0	0.0	1.0	183.91506372506
201704	edna.bg	208	4695.0	6758.0	1798.0	1390.0	2106.0	1602.0	ga	0.3	17	4	2.0	85109.54169049533	17.799999999999997	3475.521140667308
201705	enstarz.com	208	764.0	609.0	686.0	343.0	712.0	389.0	qc	0.5	17	5	0.0	0.0	5.0	843.7084818323093
201705	ew.com	208	53678.0	24267.0	35588.0	16393.0	38418.0	17174.0	ga	0.3	17	5	2.0	62737.757208314455	375.6857142857143	55047.89235232459
201705	ezys.lt	208	119.0	295.0	18.0	24.0	22.0	35.0	ga	0.3	17	5	0.0	0.0	2.0	351.3621539821433
201704	freepps.top	208	6589.0	3042.0	4449.0	2227.0	5167.0	2419.0	ga	0.3	17	4	1.0	55604.35945967444	9.0	1569.0657299786706
201704	gotceleb.com	208	8259.0	22836.0	995.0	1370.0	1817.0	2456.0	qc	0.5	17	4	0.0	0.0	50.50000000000001	8591.350975015775
201702	hurriyetaile.com	208	6563.0	5550.0	2290.0	1024.0	2472.0	1128.0	ga	0.3	17	2	1.0	43832.52218501376	3.0	562.2792346269883
201704	iafd.com	208	19726.0	106891.0	3882.0	8477.0	4575.0	11791.0	qc	0.5	17	4	1.0	29498.007461746285	179.60952380952375	34364.011507943884
201704	mangooutlet.com	208	22635.0	44178.0	2527.0	3248.0	3181.0	4097.0	ga	0.3	17	4	1.0	47001.24503179896	32.285714285714285	6382.123781211737
201702	matchesfashion.com	208	65606.0	135502.0	13483.0	18337.0	16587.0	23069.0	ga	0.3	17	2	0.0	0.0	55.2	8940.76239399502
201701	mbr.co.uk	208	5118.0	4328.0	2481.0	2003.0	2850.0	2214.0	ga	0.3	17	1	0.0	0.0	10.0	1077.8307738150795
201705	missguided.co.uk	208	50658.0	121905.0	9917.0	15813.0	12602.0	20653.0	ga	0.3	17	5	0.0	14371.927196803292	69.0	10606.778151154525
201705	novasol.de	208	76177.0	56393.0	9049.0	6863.0	10886.0	10055.0	ga	0.3	17	5	1.0	17546.75573678121	5.6	1003.7786529579305
201702	openculture.com	208	2942.0	8577.0	720.0	3616.0	796.0	4367.0	qc	0.5	17	2	0.0	0.0	112.28571428571426	19618.55645465029
201701	patient.info	208	19435.0	11396.0	12097.0	8555.0	13340.0	9020.0	qc	0.5	17	1	1.0	24851.383911752968	122.19999999999999	14133.203336778466
201703	pubted.com	208	349.0	8563.0	245.0	3687.0	245.0	5741.0	ga	0.3	17	3	0.0	4822.454181663583	17.0	2596.450702185493
201701	realmenrealstyle.com	208	5292.0	4138.0	3513.0	2480.0	4147.0	2901.0	qc	0.5	17	1	0.0	0.0	65.8	7338.553097779843
201701	skepticsannotatedbible.com	208	147.0	366.0	55.0	136.0	66.0	171.0	qc	0.5	17	1	0.0	0.0	3.0	368.01870773447337
