ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201610	thekitchn.com	356	403623.0	132398.0	305493.0	97491.0	323787.0	101494.0	16	10	1607.0	202786.64933980315	283940.95284820243
201610	theweek.in	356	1149430.0	406797.0	822815.0	268027.0	880375.0	285100.0	16	10	2676.0	377242.7169301362	517330.0861984665
201612	topix.com	356	448177.0	5773.0	110728.0	1322.0	131142.0	1528.0	16	12	43.0	6272.719738456474	7143.231971654516
201609	tuberl.com	356	378920.0	139504.0	223581.0	82251.0	228986.0	84296.0	16	9	371.0	35299.35478651545	65480.977722656375
201609	twentytwowords.com	356	540278.0	116436.0	281869.0	52697.0	302265.0	57174.0	16	9	666.0	104323.1414788726	174443.02635592886
201606	universelol.com	356	787140.0	224803.0	263735.0	69574.0	274630.0	75302.0	16	6	814.0	106599.7743075425	278899.2170743604
201610	universityherald.com	356	140986.0	144983.0	110453.0	67852.0	117803.0	70211.0	16	10	362.0	79382.4118787068	93923.12689104599
201609	upornia.com	356	6111983.0	3142996.0	2694706.0	1306885.0	3104527.0	1543484.0	16	9	9436.0	1669597.4986628923	3048600.518958931
201609	usmagazine.com	356	575774.0	386391.0	206612.0	108633.0	230395.0	125290.0	16	9	833.0	133538.16428614053	296812.5718145053
201612	videograbby.com	356	179216.0	131373.0	101326.0	77656.0	120803.0	94282.0	16	12	567.0	125912.79446465186	398369.2999714607
201610	viki.com	356	285890.0	325639.0	133442.0	90680.0	148745.0	106476.0	16	10	698.0	151316.03871298832	276332.9669905784
201609	voylla.com	356	1.2919417E7	2549534.0	1218161.0	349450.0	1350361.0	406851.0	16	9	2500.0	304294.41222863353	843619.562282702
201611	waggishlove.com	356	973564.0	40939.0	545116.0	30066.0	579949.0	32364.0	16	11	712.0	76960.32939997523	99588.65899197431
201612	whatsappquotesstatus.net	356	474776.0	105400.0	303898.0	81985.0	335903.0	89085.0	16	12	1716.0	187029.07355720593	225931.15378082937
201612	wowvideos.in	356	626924.0	94837.0	171715.0	25608.0	195236.0	28487.0	16	12	58.0	16532.926178748643	25950.445903198153
201702	xiaomitoday.com	356	130398.0	13649.0	93040.0	8298.0	101718.0	9321.0	17	2	152.0	27466.631444601637	38355.79094915092
201701	yupptv.com	356	1166132.0	838395.0	559976.0	387708.0	610423.0	434382.0	17	1	2121.0	431025.6965841283	791528.6516699415
