app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	71	5497	0	0	0	29	17	4	20
com.venmo	1	876	0	0	0	0	17	4	20
com.venmo	1	903	0	0	0	0	17	4	20
com.venmo	57	5003	0	0	0	17	17	4	20
com.venmo	76	5497	2	3	653.391	28	17	4	21
com.venmo	9410	5019	123	174	117595.753	2249	17	4	20
com.venmo	3	5130	0	0	0	1	17	4	20
com.venmo	12212	5304	152	223	95148.899	3361	17	4	20
com.venmo	4	5477	0	0	0	2	17	4	20
com.venmo	9359	5019	105	145	67196.32	2181	17	4	21
com.venmo	3	5130	0	0	0	1	17	4	21
com.venmo	12071	5304	166	282	70329.187	3204	17	4	21
com.venmo	45	951	0	0	0	5	17	4	15
com.venmo	1	5121	0	0	0	1	17	4	17
com.venmo	157	5424	1	2	60.081	23	17	4	17
com.venmo	4	5160	0	0	0	2	17	4	20
com.venmo	4	5160	0	0	0	2	17	4	21
com.venmo	3	654	0	0	0	1	17	4	20
com.venmo	133	957	5	5	826.036	70	17	4	20
com.venmo	32	990	1	3	647.938	19	17	4	20
com.venmo	49	5197	1	1	4524.046	20	17	4	15
com.venmo	510	5482	29	48	15902.5	312	17	4	15
com.venmo	27	5149	3	4	837.142	16	17	4	15
com.venmo	1	5121	0	0	0	1	17	4	18
com.venmo	1	5139	0	0	0	0	17	4	18
com.venmo	157	5424	0	0	0	27	17	4	18
com.venmo	28	5048	0	0	0	5	17	4	20
com.venmo	2	5126	0	0	0	1	17	4	20
com.venmo	2	5177	0	0	0	1	17	4	20
com.venmo	20	5084	2	2	139.572	10	17	4	21
com.venmo	7	5129	0	0	0	4	17	4	21
com.venmo	52	5240	2	3	170.938	24	17	4	21
com.venmo	2	656	0	0	0	0	17	4	19
com.venmo	1	860	0	0	0	1	17	4	15
com.venmo	11	878	1	1	281.021	7	17	4	15
com.venmo	2	905	0	0	0	0	17	4	15
com.venmo	639	5087	10	13	3191.67	271	17	4	17
com.venmo	36	5180	0	0	0	19	17	4	21
com.venmo	4	5401	0	0	0	0	17	4	15
com.venmo	4162	952	52	97	6645.113	554	17	4	15
com.venmo	23	5084	1	1	34.431	8	17	4	20
com.venmo	6	5129	0	0	0	4	17	4	20
com.venmo	52	5240	3	9	1316.088	27	17	4	20
com.venmo	501	960	11	19	1857.539	298	17	4	15
com.venmo	5	5160	1	1	30.074	3	17	4	19
com.venmo	21	5120	0	0	0	12	17	4	15
com.venmo	40	951	0	0	0	6	17	4	17
com.venmo	13	5067	0	0	0	3	17	4	17
com.venmo	90	981	0	0	0	39	17	4	17
com.venmo	7	971	0	0	0	3	17	4	21
com.venmo	20	655	0	0	0	7	17	4	18
com.venmo	3	5134	0	0	0	1	17	4	17
com.venmo	29	5084	1	1	20.001	12	17	4	15
com.venmo	6	5129	0	0	0	5	17	4	15
com.venmo	54	5240	2	4	201.599	30	17	4	15
com.venmo	690	5087	11	16	2009.833	256	17	4	18
com.venmo	3	651	0	0	0	0	17	4	15
com.venmo	1	903	0	0	0	0	17	4	15
com.venmo	20	655	2	2	207.015	9	17	4	17
com.venmo	4	5415	1	1	43.927	3	17	4	15
com.venmo	1	870	0	0	0	1	17	4	15
com.venmo	62	966	2	2	170.242	32	17	4	15
com.venmo	1	5121	0	0	0	1	17	4	22
com.venmo	2	5139	0	0	0	1	17	4	22
com.venmo	158	5424	1	1	14.966	29	17	4	22
com.venmo	20	5059	1	1	20.001	14	17	4	18
com.venmo	1487	5220	66	116	12990.033	704	17	4	15
com.venmo	13	5067	0	0	0	2	17	4	18
com.venmo	80	981	1	2	1203.159	40	17	4	18
com.venmo	9154	5019	118	185	35710.348	2333	17	4	15
com.venmo	3	5130	1	1	190.006	1	17	4	15
com.venmo	11899	5304	171	261	131906.598	3559	17	4	15
com.venmo	6	654	1	1	47.277	4	17	4	15
com.venmo	122	957	4	5	964.12	68	17	4	15
com.venmo	41	990	0	0	0	18	17	4	15
com.venmo	3	656	0	0	0	1	17	4	20
com.venmo	8	5125	0	0	0	7	17	4	18
com.venmo	6	883	0	0	0	6	17	4	18
com.venmo	336	961	5	5	1367.078	116	17	4	18
com.venmo	45	5180	1	1	780.033	24	17	4	15
com.venmo	22	5059	1	2	60	18	17	4	17
com.venmo	2	864	0	0	0	1	17	4	15
com.venmo	3	5134	0	0	0	1	17	4	15
com.venmo	4	5477	0	0	0	2	17	4	21
com.venmo	5723	5119	52	73	9948.03	2470	17	4	15
com.venmo	1	652	0	0	0	0	17	4	15
com.venmo	70	877	2	2	40.037	48	17	4	15
com.venmo	9	904	0	0	0	5	17	4	15
com.venmo	187	955	8	13	9940.611	72	17	4	15
com.venmo	46	5197	1	1	14.669	21	17	4	17
com.venmo	515	5482	37	61	8031.353	321	17	4	17
com.venmo	5757	5119	56	79	8919.158	2458	17	4	17
com.venmo	1	652	0	0	0	0	17	4	17
com.venmo	73	877	2	3	255.062	47	17	4	17
com.venmo	9	904	0	0	0	6	17	4	17
com.venmo	187	955	2	2	307.166	74	17	4	17
com.venmo	12	878	0	0	0	9	17	4	17
com.venmo	3	905	0	0	0	1	17	4	17
com.venmo	5	5477	0	0	0	3	17	4	15
com.venmo	5835	5119	56	69	4950.833	2438	17	4	18
com.venmo	1	652	0	0	0	0	17	4	18
com.venmo	70	877	4	6	412.206	46	17	4	18
com.venmo	11	904	1	1	91.126	9	17	4	18
com.venmo	202	955	5	13	1660.603	92	17	4	18
com.venmo	59	5003	0	0	0	16	17	4	15
com.venmo	8	971	0	0	0	5	17	4	17
com.venmo	3	656	0	0	0	1	17	4	21
com.venmo	30	5048	0	0	0	6	17	4	21
com.venmo	2	5126	0	0	0	2	17	4	21
com.venmo	2	5177	0	0	0	1	17	4	21
com.venmo	44	951	0	0	0	6	17	4	18
com.venmo	1496	5220	58	86	13451.028	687	17	4	18
com.venmo	24	5072	0	0	0	19	17	4	17
com.venmo	1	650	0	0	0	0	17	4	17
com.venmo	14	902	0	0	0	4	17	4	17
com.venmo	4	5134	0	0	0	1	17	4	18
com.venmo	22	5120	0	0	0	11	17	4	18
com.venmo	1	864	0	0	0	1	17	4	17
com.venmo	1	653	0	0	0	0	17	4	18
com.venmo	1	860	0	0	0	1	17	4	18
com.venmo	12	878	1	2	61.658	9	17	4	18
com.venmo	3	905	1	2	1224.929	2	17	4	18
com.venmo	3	654	1	1	110.006	1	17	4	17
com.venmo	108	957	4	23	2318.644	63	17	4	17
com.venmo	39	990	1	1	24.801	21	17	4	17
com.venmo	45	5197	2	2	49.698	19	17	4	18
