site	country	weekbegins	weekends	direct	displayads	mail	organic_search	paid_search	referrals	social
direct.asda.com#	999	24.07.2017	30.07.2017	0.208802267	0.014005656	0.022812893	0.260362809	0.087427943	0.329993083	0.076595348
heals.com*	999	24.07.2017	30.07.2017	0.172330097	0.024271845	0.05461165	0.452669903	0.145631068	0.104368932	0.046116505
oakfurnitureland.co.uk*	999	24.07.2017	30.07.2017	0.138396624	0	0.063291139	0.289451477	0.392405063	0.054852321	0.061603376
rakuten.co.uk*	999	24.07.2017	30.07.2017	0.366220736	0	0.025083612	0.225752508	0.004180602	0.217391304	0.161371237
selfridges.co.uk*	999	24.07.2017	30.07.2017	1	0	0	0	0	0	0
kiddicare.com*	999	24.07.2017	30.07.2017	0.113765643	0.017064846	0	0.348122867	0.151308305	0.324232082	0.045506257
mandmdirect.com*	999	24.07.2017	30.07.2017	0.268647369	0.028807756	0.056021407	0.254829081	0.149959741	0.160890747	0.0808439
maplin.co.uk*	999	24.07.2017	30.07.2017	0.17367958	0.011314697	0.029647371	0.60626726	0.057647666	0.101177227	0.020266198
orlakiely.com*	999	24.07.2017	30.07.2017	0.142857143	0	0.107142857	0.535714286	0	0.142857143	0.071428571
simplyelectricals.co.uk*	999	24.07.2017	30.07.2017	0.031446541	0.031446541	0	0.874213836	0.031446541	0.031446541	0
allbeauty.com*	999	24.07.2017	30.07.2017	0.252410468	0.023415978	0.080578512	0.178719008	0.242424242	0.208677686	0.013774105
ao.com*	999	24.07.2017	30.07.2017	0.245363091	0.006509426	0.029469947	0.296001353	0.235641221	0.1606222	0.026392764
